model_type,current_condition,selected_debate_id,debate_label,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,current_experiment_id
no_change,heterogeneous,11,M10,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7240713591891685400.0,15,false,0.01932656035665295,0.04768518518518505,0.01932656035665295,0.0135065157750343,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,11,M10,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,8636175130330607600.0,15,false,0.01932656035665295,0.04768518518518505,0.01932656035665295,0.0135065157750343,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,11,M10,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,6905470370856337400.0,15,false,0.01932656035665295,0.04768518518518505,0.01932656035665295,0.0135065157750343,3,3,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,6905470370856337400.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4692690466958798800.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,8636175130330607600.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,109591146466576384.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,5702577027890589700.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7043372089166577700.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4398895106259038200.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,8803618445054126100.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,1841142524168585220.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,1841142524168585220.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4342572612484808700.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4286360386944651300.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7128893484183252000.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4477927936947039200.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,homogeneous,29,H14,0,4,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7128893484183252000.0,15,false,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7139002048363152400.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,8636175130330607600.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,6905470370856337400.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7240713591891685400.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7043372089166577700.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,8636175130330607600.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4342572612484808700.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,8803618445054126100.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,5702577027890589700.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4692690466958798800.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4477927936947039200.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4286360386944651300.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,109591146466576384.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,1,M1,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4398895106259038200.0,15,false,0.0306388856143309,0.01562500000000004,0.0306388856143309,0.02287359729843013,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7139002048363152400.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4692690466958798800.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7240713591891685400.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,6905470370856337400.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,1841142524168585220.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,5702577027890589700.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4398895106259038200.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,8803618445054126100.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4342572612484808700.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,109591146466576384.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7043372089166577700.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7128893484183252000.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4286360386944651300.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,2,M2,2,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4477927936947039200.0,15,false,0.03720528978052128,0.04537037037037028,0.03720528978052128,0.02422844864540466,4,4,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7139002048363152400.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4692690466958798800.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7240713591891685400.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,8636175130330607600.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,6905470370856337400.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7128893484183252000.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,5702577027890589700.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4342572612484808700.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,1841142524168585220.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,8803618445054126100.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4398895106259038200.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7043372089166577700.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4477927936947039200.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7139002048363152400.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,109591146466576384.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4692690466958798800.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7240713591891685400.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,14,M15,3,3,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4286360386944651300.0,15,false,0.02458731638660266,0.04205246913580235,0.02458731638660266,0.015927688233501,5,5,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,6905470370856337400.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,8636175130330607600.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,5702577027890589700.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,1841142524168585220.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7043372089166577700.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4398895106259038200.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4342572612484808700.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,8803618445054126100.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4477927936947039200.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,31,M30,1,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4692690466958798800.0,15,false,0.01686903435070872,0.02353395061728388,0.01686903435070872,0.0097382377876848,2,2,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,109591146466576384.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,4286360386944651300.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,20,M26,2,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7128893484183252000.0,15,false,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0,no_change_exp
no_change,heterogeneous,31,M30,1,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7240713591891685400.0,15,false,0.01686903435070872,0.02353395061728388,0.01686903435070872,0.0097382377876848,2,2,0.0,0.0,no_change_exp
no_change,heterogeneous,31,M30,1,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,7139002048363152400.0,15,false,0.01686903435070872,0.02353395061728388,0.01686903435070872,0.0097382377876848,2,2,0.0,0.0,no_change_exp
no_change,heterogeneous,31,M30,1,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,6905470370856337400.0,15,false,0.01686903435070872,0.02353395061728388,0.01686903435070872,0.0097382377876848,2,2,0.0,0.0,no_change_exp
no_change,heterogeneous,31,M30,1,2,0.2,0.5,0.6,0.1,false,0.05,0.1,0.1,0.05,5702577027890589700.0,15,false,0.01686903435070872,0.02353395061728388,0.01686903435070872,0.0097382377876848,2,2,0.0,0.0,no_change_exp
