model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,pro_count,seed,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
no_change,homogeneous,12,H16,no_change_exp,false,false,0,8636175130330607600.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00525953551287914,0.0146604938271605,0.00525953551287914,0.00308761050144795,2,2,0.0,0.0
no_change,homogeneous,9,H9,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00864602385307116,0.06057098765432109,0.00864602385307116,0.00477630601280292,4,4,0.0,0.0
no_change,heterogeneous,5,M22,no_change_exp,false,false,0,7240713591891685400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.0128621661141594,0.03742283950617296,0.0128621661141594,0.00846169600670628,4,4,0.0,0.0
no_change,homogeneous,8,H6,no_change_exp,false,false,0,8636175130330607600.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00799629200960219,0.04722222222222199,0.00799629200960219,0.00510898919753086,3,3,0.0,0.0
no_change,homogeneous,12,H16,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00525953551287914,0.0146604938271605,0.00525953551287914,0.00308761050144795,2,2,0.0,0.0
no_change,homogeneous,12,H16,no_change_exp,false,false,0,4692690466958798800.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00525953551287914,0.0146604938271605,0.00525953551287914,0.00308761050144795,2,2,0.0,0.0
no_change,heterogeneous,11,M32,no_change_exp,false,false,0,7240713591891685400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01825134435490018,0.02797067901234564,0.01825134435490018,0.0117578065462582,5,5,0.0,0.0
no_change,homogeneous,9,H9,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00864602385307116,0.06057098765432109,0.00864602385307116,0.00477630601280292,4,4,0.0,0.0
no_change,heterogeneous,11,M32,no_change_exp,false,false,0,4692690466958798800.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01825134435490018,0.02797067901234564,0.01825134435490018,0.0117578065462582,5,5,0.0,0.0
no_change,homogeneous,9,H9,no_change_exp,false,false,0,7240713591891685400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00864602385307116,0.06057098765432109,0.00864602385307116,0.00477630601280292,4,4,0.0,0.0
no_change,homogeneous,12,H16,no_change_exp,false,false,0,7240713591891685400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00525953551287914,0.0146604938271605,0.00525953551287914,0.00308761050144795,2,2,0.0,0.0
no_change,homogeneous,8,H6,no_change_exp,false,false,0,7240713591891685400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00799629200960219,0.04722222222222199,0.00799629200960219,0.00510898919753086,3,3,0.0,0.0
no_change,heterogeneous,5,M22,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.0128621661141594,0.03742283950617296,0.0128621661141594,0.00846169600670628,4,4,0.0,0.0
no_change,heterogeneous,3,M17,no_change_exp,false,false,0,8636175130330607600.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.02156627616074153,0.03491512345679019,0.02156627616074153,0.01726517251562264,4,4,0.0,0.0
no_change,heterogeneous,11,M32,no_change_exp,false,false,0,8636175130330607600.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01825134435490018,0.02797067901234564,0.01825134435490018,0.0117578065462582,5,5,0.0,0.0
no_change,heterogeneous,11,M32,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01825134435490018,0.02797067901234564,0.01825134435490018,0.0117578065462582,5,5,0.0,0.0
no_change,heterogeneous,3,M17,no_change_exp,false,false,0,4692690466958798800.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.02156627616074153,0.03491512345679019,0.02156627616074153,0.01726517251562264,4,4,0.0,0.0
no_change,heterogeneous,3,M17,no_change_exp,false,false,0,7240713591891685400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.02156627616074153,0.03491512345679019,0.02156627616074153,0.01726517251562264,4,4,0.0,0.0
no_change,homogeneous,9,H9,no_change_exp,false,false,0,8636175130330607600.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00864602385307116,0.06057098765432109,0.00864602385307116,0.00477630601280292,4,4,0.0,0.0
no_change,heterogeneous,11,M32,no_change_exp,false,false,0,7240713591891685400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01825134435490018,0.02797067901234564,0.01825134435490018,0.0117578065462582,5,5,0.0,0.0
no_change,heterogeneous,11,M32,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01825134435490018,0.02797067901234564,0.01825134435490018,0.0117578065462582,5,5,0.0,0.0
no_change,homogeneous,9,H9,no_change_exp,false,false,0,4692690466958798800.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00864602385307116,0.06057098765432109,0.00864602385307116,0.00477630601280292,4,4,0.0,0.0
no_change,heterogeneous,5,M22,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.0128621661141594,0.03742283950617296,0.0128621661141594,0.00846169600670628,4,4,0.0,0.0
clustering,homogeneous,7,H10,clst_dist_nospeak,true,false,0,7240713591891685400.0,0,0.05,0.4,0.0,0.0,0.2,0.0,0.0,0.0,15,0.01442893048172917,0.08124232061244564,0.01098412517919426,0.00974528092130932,3,4,0.0,0.0
clustering,homogeneous,7,H10,clst_dist_nospeak,true,false,0,7139002048363152400.0,0,0.5,0.7,0.0,0.0,0.05,0.1,0.0,0.0,15,0.01442893048172917,0.10269538014190539,0.00000006022820428,0.00000000017219386,1,4,0.0,0.0
no_change,heterogeneous,11,M32,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01825134435490018,0.02797067901234564,0.01825134435490018,0.0117578065462582,5,5,0.0,0.0
no_change,homogeneous,12,H16,no_change_exp,false,false,0,7240713591891685400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00525953551287914,0.0146604938271605,0.00525953551287914,0.00308761050144795,2,2,0.0,0.0
no_change,homogeneous,12,H16,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00525953551287914,0.0146604938271605,0.00525953551287914,0.00308761050144795,2,2,0.0,0.0
clustering,homogeneous,7,H10,clst_dist_nospeak,true,false,0,6905470370856337400.0,0,0.5,0.7,0.0,0.0,0.05,0.1,0.0,0.0,15,0.01442893048172917,0.10269538014190539,0.00000006022820428,0.00000000017219386,1,4,0.0,0.0
clustering,homogeneous,7,H10,clst_dist_nospeak,true,false,0,8636175130330607600.0,0,0.05,0.4,0.0,0.0,0.2,0.0,0.0,0.0,15,0.01442893048172917,0.08124232061244564,0.01098412517919426,0.00974528092130932,3,4,0.0,0.0
no_change,homogeneous,8,H6,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00799629200960219,0.04722222222222199,0.00799629200960219,0.00510898919753086,3,3,0.0,0.0
no_change,homogeneous,8,H6,no_change_exp,false,false,0,4692690466958798800.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00799629200960219,0.04722222222222199,0.00799629200960219,0.00510898919753086,3,3,0.0,0.0
no_change,heterogeneous,3,M17,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.02156627616074153,0.03491512345679019,0.02156627616074153,0.01726517251562264,4,4,0.0,0.0
no_change,homogeneous,8,H6,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00799629200960219,0.04722222222222199,0.00799629200960219,0.00510898919753086,3,3,0.0,0.0
no_change,heterogeneous,3,M17,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.02156627616074153,0.03491512345679019,0.02156627616074153,0.01726517251562264,4,4,0.0,0.0
consensus,homogeneous,6,H8,cons_ndist_nospeak,false,false,0,4692690466958798800.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.0681324428395576,0.00008951923206265,0.00000604735425178,1,3,0.0,0.0
no_change,homogeneous,6,H8,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.06342592592592604,0.00695816186556926,0.00421296296296295,3,3,0.0,0.0
no_change,homogeneous,12,H16,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00525953551287914,0.0146604938271605,0.00525953551287914,0.00308761050144795,2,2,0.0,0.0
consensus,homogeneous,6,H8,cons_dist_speak,true,true,0,6905470370856337400.0,0,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,15,0.00695816186556926,0.07126708797758172,0.00040681231658495,0.00010387548337228,2,3,0.0,0.0
consensus,heterogeneous,5,M22,cons_dist_speak,true,true,0,7240713591891685400.0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0128621661141594,0.09312520665756485,0.00126662869282762,0.00029054788670461,2,4,0.0,0.0
consensus,heterogeneous,2,M11,cons_ndist_nospeak,false,false,0,6905470370856337400.0,0,0.1,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.02762263629008065,0.134432562476537,0.00345752580633964,0.00091725677762704,2,2,0.0,0.0
no_change,heterogeneous,5,M22,no_change_exp,false,false,0,8636175130330607600.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.0128621661141594,0.03742283950617296,0.0128621661141594,0.00846169600670628,4,4,0.0,0.0
consensus,homogeneous,6,H8,cons_ndist_nospeak,false,false,0,7139002048363152400.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.0681324428395576,0.00008951923206265,0.00000604735425178,1,3,0.0,0.0
clustering,homogeneous,10,H13,clst_dist_nospeak,true,false,0,4692690466958798800.0,0,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0147495766889575,0.0997031332281776,0.00000001512203155,0.00000000000851051,1,2,0.0,0.0
clustering,homogeneous,10,H13,clst_dist_nospeak,true,false,0,7240713591891685400.0,0,0.1,0.4,0.0,0.0,0.05,0.0,0.0,0.0,15,0.0147495766889575,0.08037289972435757,0.00164514340002239,0.0004206023862344,2,2,0.0,0.0
consensus,homogeneous,8,H6,cons_dist_speak,true,true,0,8636175130330607600.0,0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,15,0.00799629200960219,0.03838513554282123,0.00074957476126456,0.0003594809590753,2,3,0.0,0.0
consensus,homogeneous,8,H6,cons_dist_speak,true,true,0,6905470370856337400.0,0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,15,0.00799629200960219,0.03685874053201531,0.00066702161116309,0.00041040653644381,2,3,0.0,0.0
consensus,heterogeneous,2,M11,cons_ndist_nospeak,false,false,0,4692690466958798800.0,0,0.1,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.02762263629008065,0.134432562476537,0.00345752580633964,0.00091725677762704,2,2,0.0,0.0
consensus,heterogeneous,2,M11,cons_ndist_nospeak,false,false,0,7139002048363152400.0,0,0.1,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.02762263629008065,0.134432562476537,0.00345752580633964,0.00091725677762704,2,2,0.0,0.0
consensus,homogeneous,9,H9,cons_ndist_nospeak,false,false,0,8636175130330607600.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00864602385307116,0.08405957117637346,0.00000001960035373,0.0000000000178984,1,4,0.0,0.0
consensus,heterogeneous,5,M22,cons_dist_speak,true,true,0,4692690466958798800.0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0128621661141594,0.09312520665756485,0.00126662869282763,0.00029054788670461,2,4,0.0,0.0
consensus,heterogeneous,5,M22,cons_dist_speak,true,true,0,7139002048363152400.0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0128621661141594,0.0937218095008648,0.00126662869282762,0.00029054788670461,2,4,0.0,0.0
clustering,heterogeneous,1,M3,clst_dist_nospeak,true,false,0,4692690466958798800.0,0,0.5,0.2,0.0,0.0,0.05,0.1,0.0,0.0,15,0.01298893430105449,0.09953685917916931,0.00000000059759493,0.00000000000009439,1,3,0.0,0.0
clustering,homogeneous,10,H13,clst_dist_nospeak,true,false,0,7240713591891685400.0,0,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0147495766889575,0.0997031332281776,0.00000001512203155,0.00000000000851051,1,2,0.0,0.0
clustering,homogeneous,7,H10,clst_dist_nospeak,true,false,0,4692690466958798800.0,0,0.05,0.4,0.0,0.0,0.2,0.0,0.0,0.0,15,0.01442893048172917,0.08124232061244564,0.01098412517919426,0.00974528092130932,3,4,0.0,0.0
clustering,homogeneous,8,H6,clst_ndist_speak,false,true,0,4692690466958798800.0,0,0.3,0.7,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00799629200960219,0.03781270656744986,0.00022392625199083,0.00002816700087474,1,3,0.0,0.0
clustering,homogeneous,8,H6,clst_ndist_speak,false,true,0,8636175130330607600.0,0,0.3,0.7,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00799629200960219,0.03607824071246909,0.00022392625199083,0.00002816700087474,1,3,0.0,0.0
clustering,homogeneous,6,H8,clst_ndist_speak,false,true,0,7139002048363152400.0,0,0.3,0.4,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.06065623046430257,0.00019485470333392,0.00002322700770641,1,3,0.0,0.0
no_change,heterogeneous,5,M22,no_change_exp,false,false,0,4692690466958798800.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.0128621661141594,0.03742283950617296,0.0128621661141594,0.00846169600670628,4,4,0.0,0.0
clustering,homogeneous,6,H8,clst_ndist_speak,false,true,0,8636175130330607600.0,0,0.1,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.06473193329084134,0.0022511987748685,0.00081609930952424,2,3,0.0,0.0
clustering,homogeneous,6,H8,clst_ndist_speak,false,true,0,4692690466958798800.0,0,0.1,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.06439774112272457,0.0022511987748685,0.00081609930952424,2,3,0.0,0.0
consensus,homogeneous,6,H8,cons_ndist_nospeak,false,false,0,6905470370856337400.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.0681324428395576,0.00008951923206265,0.00000604735425178,1,3,0.0,0.0
consensus,homogeneous,9,H9,cons_ndist_nospeak,false,false,0,6905470370856337400.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00864602385307116,0.08405957117637346,0.00000001960035373,0.0000000000178984,1,4,0.0,0.0
consensus,homogeneous,6,H8,cons_ndist_nospeak,false,false,0,8636175130330607600.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.0681324428395576,0.00008951923206265,0.00000604735425178,1,3,0.0,0.0
no_change,heterogeneous,3,M17,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.02156627616074153,0.03491512345679019,0.02156627616074153,0.01726517251562264,4,4,0.0,0.0
consensus,homogeneous,8,H6,cons_dist_speak,true,true,0,4692690466958798800.0,0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,15,0.00799629200960219,0.03626772036171646,0.00075940424316716,0.0003522744750158,2,3,0.0,0.0
no_change,homogeneous,6,H8,no_change_exp,false,false,0,8636175130330607600.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.06342592592592604,0.00695816186556926,0.00421296296296295,3,3,0.0,0.0
consensus,homogeneous,6,H8,cons_ndist_nospeak,false,false,0,7139002048363152400.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.0681324428395576,0.00008951923206265,0.00000604735425178,1,3,0.0,0.0
consensus,heterogeneous,5,M22,cons_dist_speak,true,true,0,8636175130330607600.0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0128621661141594,0.09450837167469373,0.00126662869282762,0.00029054788670461,2,4,0.0,0.0
no_change,homogeneous,12,H16,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00525953551287914,0.0146604938271605,0.00525953551287914,0.00308761050144795,2,2,0.0,0.0
consensus,heterogeneous,4,M19,cons_ndist_nospeak,false,false,0,4692690466958798800.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0271135913655264,0.08950041063946476,0.00035675508380195,0.00002409877434394,1,3,0.0,0.0
no_change,heterogeneous,3,M17,no_change_exp,false,false,0,4692690466958798800.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.02156627616074153,0.03491512345679019,0.02156627616074153,0.01726517251562264,4,4,0.0,0.0
consensus,heterogeneous,4,M19,cons_ndist_nospeak,false,false,0,7139002048363152400.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0271135913655264,0.08950041063946476,0.00035675508380195,0.00002409877434394,1,3,0.0,0.0
consensus,homogeneous,6,H8,cons_dist_speak,true,true,0,7139002048363152400.0,0,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,15,0.00695816186556926,0.05203514830455812,0.00035207028330832,0.00007204528164889,1,3,0.0,0.0
consensus,heterogeneous,4,M19,cons_ndist_nospeak,false,false,0,6905470370856337400.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0271135913655264,0.08950041063946476,0.00035675508380195,0.00002409877434394,1,3,0.0,0.0
clustering,homogeneous,10,H13,clst_dist_nospeak,true,false,0,7139002048363152400.0,0,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0147495766889575,0.0997031332281776,0.00000001512203155,0.00000000000851051,1,2,0.0,0.0
clustering,homogeneous,10,H13,clst_dist_nospeak,true,false,0,8636175130330607600.0,0,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0147495766889575,0.0997031332281776,0.00000001512203155,0.00000000000851051,1,2,0.0,0.0
clustering,homogeneous,7,H10,clst_dist_nospeak,true,false,0,8636175130330607600.0,0,0.5,0.7,0.0,0.0,0.05,0.1,0.0,0.0,15,0.01442893048172917,0.10269538014190539,0.00000006022820428,0.00000000017219386,1,4,0.0,0.0
consensus,heterogeneous,2,M11,cons_ndist_nospeak,false,false,0,8636175130330607600.0,0,0.1,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.02762263629008065,0.134432562476537,0.00345752580633964,0.00091725677762704,2,2,0.0,0.0
clustering,homogeneous,10,H13,clst_dist_nospeak,true,false,0,8636175130330607600.0,0,0.1,0.4,0.0,0.0,0.05,0.0,0.0,0.0,15,0.0147495766889575,0.08037289972435757,0.00164514340002239,0.0004206023862344,2,2,0.0,0.0
clustering,heterogeneous,1,M3,clst_dist_nospeak,true,false,0,8636175130330607600.0,0,0.5,0.2,0.0,0.0,0.05,0.1,0.0,0.0,15,0.01298893430105449,0.09953685917916931,0.00000000059759493,0.00000000000009439,1,3,0.0,0.0
consensus,homogeneous,9,H9,cons_ndist_nospeak,false,false,0,4692690466958798800.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00864602385307116,0.08405957117637346,0.00000001960035373,0.0000000000178984,1,4,0.0,0.0
consensus,heterogeneous,4,M19,cons_ndist_speak,false,true,0,8636175130330607600.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0271135913655264,0.0676586377889439,0.00267006758304672,0.00062123127272119,2,3,0.0,0.0
clustering,homogeneous,6,H8,clst_ndist_nospeak,false,false,0,7240713591891685400.0,0,0.3,0.4,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.0673138643050044,0.0000009913517813,0.00000000859825677,1,3,0.0,0.0
consensus,homogeneous,6,H8,cons_ndist_speak,false,true,0,7240713591891685400.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.06513298126600828,0.00068521953378962,0.00014465982761417,2,3,0.0,0.0
consensus,homogeneous,9,H9,cons_ndist_nospeak,false,false,0,7240713591891685400.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00864602385307116,0.08405957117637346,0.00000001960035373,0.0000000000178984,1,4,0.0,0.0
consensus,homogeneous,6,H8,cons_ndist_nospeak,false,false,0,4692690466958798800.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.0681324428395576,0.00008951923206265,0.00000604735425178,1,3,0.0,0.0
consensus,homogeneous,9,H9,cons_ndist_speak,false,true,0,7139002048363152400.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00864602385307116,0.09026887449071201,0.00001542283541278,0.00000047979152497,1,4,0.0,0.0
consensus,homogeneous,9,H9,cons_ndist_speak,false,true,0,7240713591891685400.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00864602385307116,0.07913841911894128,0.00001542283541278,0.00000047979152497,1,4,0.0,0.0
consensus,heterogeneous,4,M19,cons_ndist_nospeak,false,false,0,8636175130330607600.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0271135913655264,0.08950041063946476,0.00035675508380195,0.00002409877434394,1,3,0.0,0.0
clustering,homogeneous,6,H8,clst_ndist_nospeak,false,false,0,7240713591891685400.0,0,0.1,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.06535862354893408,0.00050011356153739,0.00008007987871832,2,3,0.0,0.0
consensus,heterogeneous,2,M11,cons_dist_nospeak,true,false,0,8636175130330607600.0,0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.02762263629008065,0.15924667853921287,0.00072512745673333,0.00009023122664958,2,2,0.0,0.0
clustering,heterogeneous,11,M32,clst_ndist_speak,false,true,0,8636175130330607600.0,0,0.2,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01825134435490018,0.08728625007426723,0.00206718430913116,0.00048097123933381,3,5,0.0,0.0
clustering,heterogeneous,11,M32,clst_ndist_speak,false,true,0,4692690466958798800.0,0,0.2,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01825134435490018,0.0883705147166638,0.00179733928464388,0.00040372590100016,2,5,0.0,0.0
consensus,heterogeneous,3,M17,cons_ndist_nospeak,false,false,0,7139002048363152400.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.02156627616074153,0.1511371311683205,0.00000124881760458,0.00000000635050813,1,4,0.0,0.0
consensus,heterogeneous,3,M17,cons_ndist_nospeak,false,false,0,6905470370856337400.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.02156627616074153,0.1511371311683205,0.00000124881760458,0.00000000635050813,1,4,0.0,0.0
clustering,homogeneous,6,H8,clst_ndist_nospeak,false,false,0,7139002048363152400.0,0,0.3,0.4,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.0673138643050044,0.0000009913517813,0.00000000859825677,1,3,0.0,0.0
clustering,heterogeneous,5,M22,clst_ndist_nospeak,false,false,0,7240713591891685400.0,0,0.2,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0128621661141594,0.10781091714249548,0.00006711199695816,0.00000287990649625,2,4,0.0,0.0
clustering,homogeneous,6,H8,clst_ndist_nospeak,false,false,0,4692690466958798800.0,0,0.3,0.4,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.0673138643050044,0.0000009913517813,0.00000000859825677,1,3,0.0,0.0
consensus,heterogeneous,2,M11,cons_dist_nospeak,true,false,0,6905470370856337400.0,0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.02762263629008065,0.15924667853921287,0.00072512745673333,0.00009023122664958,2,2,0.0,0.0
consensus,heterogeneous,2,M11,cons_dist_speak,true,true,0,6905470370856337400.0,0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.02762263629008065,0.12564735844921343,0.00349884877760402,0.0010700925728915,3,2,0.0,0.0
consensus,homogeneous,6,H8,cons_dist_nospeak,true,false,0,8636175130330607600.0,0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,15,0.00695816186556926,0.04248326313656302,0.00218429988008649,0.00096572484426835,3,3,0.0,0.0
consensus,heterogeneous,4,M19,cons_ndist_speak,false,true,0,7240713591891685400.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0271135913655264,0.06765863778894393,0.00267006758304672,0.00062123127272119,2,3,0.0,0.0
no_change,heterogeneous,2,M11,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.02762263629008065,0.0601851851851852,0.02762263629008065,0.02158413738616453,2,2,0.0,0.0
consensus,homogeneous,6,H8,cons_dist_speak,true,true,0,7240713591891685400.0,0,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,15,0.00695816186556926,0.0583918731407941,0.00041229261050399,0.00008904226340848,1,3,0.0,0.0
consensus,homogeneous,6,H8,cons_dist_nospeak,true,false,0,4692690466958798800.0,0,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,15,0.00695816186556926,0.05634596312724906,0.00003604625155479,0.00000290973986505,1,3,0.0,0.0
consensus,homogeneous,8,H6,cons_dist_speak,true,true,0,7139002048363152400.0,0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,15,0.00799629200960219,0.04050100069098408,0.00060577385349604,0.00029108747481529,2,3,0.0,0.0
consensus,heterogeneous,4,M19,cons_ndist_speak,false,true,0,4692690466958798800.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0271135913655264,0.08377298738645553,0.00267006758304672,0.00062123127272119,2,3,0.0,0.0
consensus,homogeneous,6,H8,cons_dist_nospeak,true,false,0,7139002048363152400.0,0,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,15,0.00695816186556926,0.05634596312724906,0.00003604625155479,0.00000290973986505,1,3,0.0,0.0
consensus,homogeneous,6,H8,cons_ndist_nospeak,false,false,0,7240713591891685400.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00695816186556926,0.0681324428395576,0.00008951923206265,0.00000604735425178,1,3,0.0,0.0
